trial_id,union_ratio,true_ratio,predicted_ratio,track_purity,target_effectiveness,division_recovery,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/nll_offset,config/drift_x,config/drift_y,config/max_distance,config/gap_closing_max_distance,config/splitting_max_distance,config/gap_closing,search_name
15acc764,0.9242139840450493,0.9678132678132678,0.953522149600581,-1.0,-1.0,-1.0,99.86710357666016,True,,,1,dde27369f23e435c86668131f6d1fd9f,2022-09-01_15-14-29,1662012869,99.86710357666016,29870,bwmpc0729,10.3.7.29,99.86710357666016,0,1,0.0031099319458007812,"49_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=37.1355,max_distance=9.7984,nll_offset=0.3903,splitting_max_distance=21.2265",0.3903448646518397,0,0,9.798437131555666,37.13554393553741,21.22652680817327,1,OptunaSearch
427bcae2,0.9241961980755691,0.9675675675675676,0.9537418261080165,-1.0,-1.0,-1.0,78.80552387237549,True,,,1,8719f4fe3a014783923c560193afc646,2022-09-01_15-15-25,1662012925,78.80552387237549,30407,bwmpc0729,10.3.7.29,78.80552387237549,0,1,0.003488779067993164,"57_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=37.1088,max_distance=10.7036,nll_offset=0.3576,splitting_max_distance=21.3581",0.35764532488823336,0,0,10.703634178866519,37.10882509826196,21.358052933400508,1,OptunaSearch
6e74788e,0.9241071428571429,0.9663390663390663,0.954843408594319,-1.0,-1.0,-1.0,123.06558036804199,True,,,1,76a23f4d7bc44d90ad10c13a80039e00,2022-09-01_15-10-13,1662012613,123.06558036804199,28415,bwmpc0729,10.3.7.29,123.06558036804199,0,1,0.003321409225463867,"25_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=28.5643,max_distance=6.7133,nll_offset=0.4977,splitting_max_distance=18.5507",0.4977108296293861,0,0,6.713260867818538,28.564273390396863,18.55066906047691,1,OptunaSearch
c616edd2,0.924068432153738,0.9687960687960688,0.952415458937198,-1.0,-1.0,-1.0,101.69940996170044,True,,,1,a39ce8aaa0cf4b92be11a6291c7ab72d,2022-09-01_15-19-29,1662013169,101.69940996170044,31606,bwmpc0729,10.3.7.29,101.69940996170044,0,1,0.0033626556396484375,"76_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=39.4937,max_distance=11.1429,nll_offset=0.4618,splitting_max_distance=25.9833",0.4618374701464212,0,0,11.142939661473333,39.49367830154403,25.98325068516066,1,OptunaSearch
3b710262,0.9239971850809289,0.9678132678132678,0.9532913843175218,-1.0,-1.0,-1.0,119.11471366882324,True,,,1,2f95319e7b27418d97c03c0094ba7d38,2022-09-01_15-15-54,1662012954,119.11471366882324,30270,bwmpc0729,10.3.7.29,119.11471366882324,0,1,0.0038771629333496094,"55_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=36.2152,max_distance=7.1549,nll_offset=0.3658,splitting_max_distance=20.9348",0.3658330499811573,0,0,7.154913095903487,36.21522893153726,20.93481662058506,1,OptunaSearch
eae43160,0.9239793524167058,0.9675675675675676,0.9535108958837772,-1.0,-1.0,-1.0,81.73428344726562,True,,,1,c48e119041c14eebacb3894f40a3eae0,2022-09-01_15-20-10,1662013210,81.73428344726562,31943,bwmpc0729,10.3.7.29,81.73428344726562,0,1,0.003984928131103516,"82_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=33.0515,max_distance=11.8258,nll_offset=0.2942,splitting_max_distance=22.5118",0.29421824171009503,0,0,11.82582459611777,33.05149291299623,22.51183748962672,1,OptunaSearch
1a2b179a,0.9236551562132957,0.966093366093366,0.9546006312211702,-1.0,-1.0,-1.0,135.69456720352173,True,,,1,27f924006e314aa1a0aa02a09b8c8c11,2022-09-01_15-22-15,1662013335,135.69456720352173,31019,bwmpc0729,10.3.7.29,135.69456720352173,0,1,0.0038394927978515625,"86_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=19.5238,max_distance=5.8562,nll_offset=0.4156,splitting_max_distance=22.5882",0.4156114593940968,0,0,5.856236411329524,19.523846961341384,22.58823413179859,1,OptunaSearch
aab7057c,0.9236176194939082,0.9685503685503686,0.9521739130434783,-1.0,-1.0,-1.0,86.507572889328,True,,,1,0f99bd8fa0af44719cd9b20ee18ff49a,2022-09-01_15-18-28,1662013108,86.507572889328,31276,bwmpc0729,10.3.7.29,86.507572889328,0,1,0.0037441253662109375,"71_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=39.5362,max_distance=10.8882,nll_offset=0.4544,splitting_max_distance=25.7288",0.45437590596893057,0,0,10.888207490626632,39.53616349913245,25.728800578202723,1,OptunaSearch
55983f52,0.9235638921453693,0.9678132678132678,0.9528301886792453,-1.0,-1.0,-1.0,86.75023889541626,True,,,1,dde27369f23e435c86668131f6d1fd9f,2022-09-01_15-15-56,1662012956,86.75023889541626,29870,bwmpc0729,10.3.7.29,86.75023889541626,0,1,0.0031099319458007812,"58_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=37.4145,max_distance=10.6389,nll_offset=0.3534,splitting_max_distance=23.8975",0.3533844679558201,0,0,10.638855683528089,37.414527024622515,23.89748078328154,1,OptunaSearch
2c04e514,0.9235459662288931,0.9675675675675676,0.9530493707647628,-1.0,-1.0,-1.0,127.37333154678345,True,,,1,bb7844d2317a499186ff63b99d338c52,2022-09-01_15-15-26,1662012926,127.37333154678345,29522,bwmpc0729,10.3.7.29,127.37333154678345,0,1,0.003791332244873047,"52_drift_x=0,drift_y=0,gap_closing=1,gap_closing_max_distance=36.9127,max_distance=7.2632,nll_offset=0.3945,splitting_max_distance=21.0659",0.39445081450071656,0,0,7.263200087151037,36.912690429117845,21.06593820339103,1,OptunaSearch
