trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/max_distance,config/splitting_max_distance,config/gap_closing
71d39_00436,0.999321581883897,0.9996840701130327,0.9996372826621113,0.9923946364636229,0.9951206384123938,0.9838056680161943,323.4320547580719,True,,,1,2c76e3822b7d4f1c8d5311b5348e38dd,2022-11-09_20-09-45,1667992185,323.4320547580719,59504,thunders,172.21.5.15,323.4320547580719,0,1,0.010200738906860352,436,41.0,32.0,0
71d39_00405,0.999321581883897,0.9996840701130327,0.9996372826621113,0.9923946364636229,0.9951206384123938,0.9838056680161943,326.6869080066681,True,,,1,5514b293be6849d396a1c976dd686174,2022-11-09_20-06-46,1667992006,326.6869080066681,58842,thunders,172.21.5.15,326.6869080066681,0,1,0.0038466453552246094,405,38.0,32.0,1
71d39_00404,0.999321581883897,0.9996840701130327,0.9996372826621113,0.9923946364636229,0.9951206384123938,0.9838056680161943,345.50000762939453,True,,,1,47c71d683b604cb69f1b67a2d8d8d9a6,2022-11-09_20-06-42,1667992002,345.50000762939453,59216,thunders,172.21.5.15,345.50000762939453,0,1,0.004023313522338867,404,38.0,32.0,0
71d39_00466,0.9993215660127966,0.9996606678991833,0.9996606678991833,0.9891179705600149,0.9955886826893824,0.979757085020243,331.72448897361755,True,,,1,be5676e89abb4fda9e4f2ffab4d83e4d,2022-11-09_20-12-45,1667992365,331.72448897361755,59935,thunders,172.21.5.15,331.72448897361755,0,1,0.004309654235839844,466,44.0,29.0,0
71d39_00467,0.9993215660127966,0.9996606678991833,0.9996606678991833,0.9891179705600149,0.9955886826893824,0.979757085020243,325.9134075641632,True,,,1,e3e350a5c2234c878d1f91a336ff18ff,2022-11-09_20-12-41,1667992361,325.9134075641632,58764,thunders,172.21.5.15,325.9134075641632,0,1,0.004691362380981445,467,44.0,29.0,1
71d39_00336,0.999321526331797,0.9996021623645597,0.9997191405701447,0.9838973926882928,0.9968641033441764,0.9595141700404858,328.2084729671478,True,,,1,529a72bb33204c57b2f0554aa50d1b8a,2022-11-09_19-58-26,1667991506,328.2084729671478,59673,thunders,172.21.5.15,328.2084729671478,0,1,0.010805845260620117,336,32.0,26.0,0
71d39_00337,0.999321526331797,0.9996021623645597,0.9997191405701447,0.9838973926882928,0.9968641033441764,0.9595141700404858,328.30315256118774,True,,,1,395af6683a0a4ef39c1304cf0a8374f8,2022-11-09_19-58-38,1667991518,328.30315256118774,59596,thunders,172.21.5.15,328.30315256118774,0,1,0.0052607059478759766,337,32.0,26.0,1
71d39_00368,0.999321526331797,0.9996021623645597,0.9997191405701447,0.9838973926882928,0.9968641033441764,0.9595141700404858,334.2700996398926,True,,,1,be5676e89abb4fda9e4f2ffab4d83e4d,2022-11-09_20-01-47,1667991707,334.2700996398926,59935,thunders,172.21.5.15,334.2700996398926,0,1,0.004309654235839844,368,35.0,26.0,0
71d39_00369,0.999321526331797,0.9996021623645597,0.9997191405701447,0.9838973926882928,0.9968641033441764,0.9595141700404858,333.4978289604187,True,,,1,e3e350a5c2234c878d1f91a336ff18ff,2022-11-09_20-01-50,1667991710,333.4978289604187,58764,thunders,172.21.5.15,333.4978289604187,0,1,0.004691362380981445,369,35.0,26.0,1
71d39_00431,0.99932151839504,0.999590461257635,0.9997308367466354,0.9803393797542422,0.9976012730804334,0.951417004048583,337.50436878204346,True,,,1,5778a891fe00408cb393b825f6c68c6d,2022-11-09_20-09-12,1667992152,337.50436878204346,58706,thunders,172.21.5.15,337.50436878204346,0,1,0.003583669662475586,431,41.0,23.0,1
