trial_id,Jaccard_index,true_positive_rate,precision,track_purity,target_effectiveness,mitotic_branching_correctness,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.max_distance,config.splitting_max_distance,config.gap_closing
4cd95_00137,0.9380360205831904,0.9679203539823009,0.9681345430404957,0.8791768090285461,0.945353982300885,0.6864608076009501,81.30858993530273,True,,,1,3929d97daae4465bb9cf22ef389da0b3,2022-08-23_18-24-02,1661246642,81.30858993530273,271970,booster,172.21.5.13,81.30858993530273,0,1,0.00664067268371582,137,14.0,46.30769230769231,1
4cd95_00135,0.9380360205831904,0.9679203539823009,0.9681345430404957,0.8791768090285461,0.945353982300885,0.6864608076009501,83.67932319641113,True,,,1,ee87be23ea7f450a82f94bccccf29f70,2022-08-23_18-23-44,1661246624,83.67932319641113,271836,booster,172.21.5.13,83.67932319641113,0,1,0.006690502166748047,135,14.0,42.61538461538462,1
4cd95_00133,0.9380360205831904,0.9679203539823009,0.9681345430404957,0.8791768090285461,0.945353982300885,0.6864608076009501,81.49111080169678,True,,,1,f94e17d2f6724bca9008cac9b6e5c57d,2022-08-23_18-22-46,1661246566,81.49111080169678,271703,booster,172.21.5.13,81.49111080169678,0,1,0.021045446395874023,133,14.0,38.92307692307693,1
4cd95_00130,0.9380227321466866,0.9676991150442478,0.9683418197918973,0.8786805401815364,0.9460176991150443,0.684085510688836,78.26924681663513,True,,,1,7c71a32f239f4d7bbc5cfc0c0a1ceffa,2022-08-23_18-22-17,1661246537,78.26924681663513,271550,booster,172.21.5.13,78.26924681663513,0,1,0.011667013168334961,130,14.0,35.23076923076923,0
4cd95_00136,0.9376205787781351,0.9676991150442478,0.9679132551449435,0.8782916574463376,0.9451327433628318,0.684085510688836,85.03261232376099,True,,,1,4e932f7699b740ebbdb2fff3c396a83c,2022-08-23_18-23-55,1661246635,85.03261232376099,271894,booster,172.21.5.13,85.03261232376099,0,1,0.006035804748535156,136,14.0,46.30769230769231,0
4cd95_00134,0.9376205787781351,0.9676991150442478,0.9679132551449435,0.8782916574463376,0.9451327433628318,0.684085510688836,80.5325219631195,True,,,1,f90b9bbafe154c6b80a53e755a82e673,2022-08-23_18-23-18,1661246598,80.5325219631195,271774,booster,172.21.5.13,80.5325219631195,0,1,0.02614903450012207,134,14.0,42.61538461538462,0
4cd95_00132,0.9376205787781351,0.9676991150442478,0.9679132551449435,0.8782916574463376,0.9451327433628318,0.684085510688836,81.93599939346313,True,,,1,891919f34b4e4118a2386d77148ff3a4,2022-08-23_18-22-32,1661246552,81.93599939346313,271630,booster,172.21.5.13,81.93599939346313,0,1,0.007726907730102539,132,14.0,38.92307692307693,0
4cd95_00103,0.9376072041166381,0.9674778761061947,0.9681204339163162,0.8753597520478194,0.9444690265486726,0.6793349168646081,84.3568971157074,True,,,1,36106b011d7245839bc41783bf319b4c,2022-08-23_18-15-12,1661246112,84.3568971157074,269969,booster,172.21.5.13,84.3568971157074,0,1,0.009546279907226562,103,11.0,35.23076923076923,1
4cd95_00139,0.9374196313759109,0.9676991150442478,0.9676991150442478,0.8789823008849558,0.9451327433628318,0.684085510688836,81.165274143219,True,,,1,c2dae87dd13642b4902645737b1bd1c6,2022-08-23_18-24-18,1661246658,81.165274143219,272057,booster,172.21.5.13,81.165274143219,0,1,0.00908350944519043,139,14.0,50.0,1
4cd95_00105,0.9372053150450065,0.9674778761061947,0.9676919672493914,0.8749723390130559,0.9435840707964602,0.6793349168646081,82.17349600791931,True,,,1,c9ed798ad9b544a385f960c240e2aa8c,2022-08-23_18-16-00,1661246160,82.17349600791931,270097,booster,172.21.5.13,82.17349600791931,0,1,0.005279541015625,105,11.0,38.92307692307693,1
